;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
end_of_natural_dyes_title;Ãµ¿¬ ¿°·áÀÇ ³¡?;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
end_of_natural_dyes_desc;19¼¼±â Áß¹İ ÀÎ°£ÀÌ ¸¸µç ÇÕ¼º ¿°·áÀÇ ¹ß°ßÀº Ãµ¿¬ ¿°·á¿¡ ´ëÇÑ ´ë±Ô¸ğ ½ÃÀåÀÇ ¿À·£ ÇÏ¶ôÀ» ÃË¹ßÇß½À´Ï´Ù. »ê¾÷ Çõ¸íÀ¸·Î °¡´ÉÇØÁø »ê¾÷ ¼¶À¯ »ı»êÀ» ÅëÇØ ´ë·®À¸·Î »ı»êÇÒ ¼ö ÀÖ´Â ÇÕ¼º ¿°·á´Â Ãµ¿¬ ¿°·á¸¦ ºü¸£°Ô ´ëÃ¼ÇßÀ¸¸ç, ÈÄ¿¡ µîÀåÇÏ´Â ÇÕ¼º ¼¶À¯¿Íµµ Ãµ¿¬ ¿°·á¿Í ´Ş¸® Àß ¾î¿ï·È½À´Ï´Ù. ¿ì¸®³ª¶óÀÇ ÀÏºÎ Áö¿ª¿¡¼­µµ Ãµ¿¬ ¿°·á »ı»êÀÌ ¸î³â°£ ²ÙÁØÈ÷ °¨¼ÒÇÏ°í ÀÖÀ¸¸ç, ÀÌ°÷ÀÇ »ı»êÀÚµéÀº Áö±İ ÀÚ½ÅµéÀÇ »óÇ°À» ÆÈ ¼ö ¾ø´Â »óÅÂ¿¡ ÀÌ¸£·¶½À´Ï´Ù. ÆÄ»ê¿¡ Á÷¸éÇÑ ´ëºÎºĞÀÇ ¿°·á »ı»êÀÚµéÀº »õ·Î¿î Á¦Ç°À» ¹°»öÇÏ°í ÀÖ½À´Ï´Ù. Á¤ºÎÀÎ ¿ì¸®°¡ »õ·Î¿î ½ÃÀåÀ» Ã£¾ÆÁÜÀ¸·Î½á ±×µéÀ» µµ¿ï ¼ö ÀÖ½À´Ï´Ù.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
vassal_stop_paying_vassal_payments_title;Á¾ÁÖ±¹¿¡ ´ëÇÑ ¼¼±İ ÁöºÒ ÁßÁö;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
vassal_stop_paying_vassal_payments_desc;Á¾ÁÖ±¹ÀÌ ¼¼±İ ÇÒ´ç·®À» ¾ø¾Ø´Ù´Â ¸í·ÉÀ» ¹ßÇ¥Çß½À´Ï´Ù.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_off_vassal_payments_title;¼Ó±¹ÀÇ ÀÇ¹« ¸éÁ¦;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_off_vassal_payments_desc;¿ì¸®ÀÇ ±¹°í´Â ÀÌ¹Ì ÃæºĞÈ÷ ²Ë Ã¡½À´Ï´Ù. ³»°¢Àº ¼Ó±¹(ÀÚÄ¡·É ¾Æ´Ô)µéÀÇ '$COUNTRY$¿¡°Ô »ó³²±İÀ» ¹ÙÄ¥ ÀÇ¹«'¸¦ ¸éÁ¦ÇÏ´Â Á¦¾È¼­¸¦ Á¦ÃâÇß½À´Ï´Ù. ÀÌ´Â ´Ü±â°£¿¡ ¼Ó±¹µé°úÀÇ °ü°è¸¦ ÁõÁøÇÏ°ÚÁö¸¸, ÀçÁ¤¿¡´Â ±×´ÙÁö µµ¿òÀ» ÁÖÁö ¸øÇÒ °ÍÀÔ´Ï´Ù.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_on_vassal_payments_title;¼Ó±¹ÀÇ ÀÇ¹«;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_on_vassal_payments_desc;¼Ó±¹µéÀÇ »ó³³±İ ÀÇ¹«¸¦ ¸éÁ¦Çß½À´Ï´Ù. ±×·¯³ª ¼Ó±¹ÀÇ ¿ªÇÒÀ» ¼öÇàÇÏ°í $COUNTRY$ÀÇ ¿µ±¤À» À¯ÁöÇÏ´Âµ¥ ±â¿©ÇÏ·Á¸é $COUNTRY$ÀÇ ¸ğµç ¼Ó±¹µéÀÌ ÇÊ¿äÇÕ´Ï´Ù.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
specific_trade_policy_title;¹«¿ªÁ¤Ã¥ ¼±ÅÃ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
specific_trade_policy_desc;Áı±Ç´çÀº ±¤¹üÀ§ÇÑ ¹«¿ªÁ¤Ã¥À» °¡Áö°í ÀÖÀ¸¸ç Á¤ºÎ¿¡µµ ÀÌÀÍ Ã¢ÃâÀ» À§ÇØ °æÀïÇÏ´Â ¿©·¯ °æÁ¦ ÇĞÆÄ°¡ ÀÖ½À´Ï´Ù. ¹«¿ªÁ¤Ã¥À» Ã¤ÅÃÇÏ¸é °ü¼¼ Ã¥Á¤ÀÇ À¶Åë¼ºÀ» ´Ù¼Ò »ó½ÇÇÏ°Ô µÉ °ÍÀÌ³ª, °ü¼¼ Â¡¼ö¸¦ º¸´Ù È¿À²ÀûÀ¸·Î ÇÒ ¼ö ÀÖÀ» °ÍÀÌ¸ç °ü¼¼ º¯µ¿¿¡ µû¸¥ ´Ù¸¥ ÇıÅÃÀ» ´©¸®°Ô µÉ °ÍÀÔ´Ï´Ù.\n\n\n§RÁÖÀÇ: ½ÃÀå ±ÔÁ¦¸¦ Á¶»çÇÏ¸é ÀÌ °áÁ¤À» ³»¸± ¶§ ´õ ¸¹Àº ¼³Á¤ÀÌ ÇØÁ¦µË´Ï´Ù. ÀÌ °áÁ¤À» ¿ÏÀüÈ÷ Ãë¼ÒÇÏ°í ³ª¸ÓÁö °ÔÀÓÀº ÇØ°í »ç°ÇÀÇ ¸¶Áö¸· ¼³Á¤À» ¼±ÅÃÇÏ¿© Ãë¼ÒÇÒ ¼ö ÀÖ½À´Ï´Ù.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rescind_trade_policy_title;ÀÎ°øÁö´É: Á¾·¡ ¹«¿ªÁ¤Ã¥ Æó±â;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rescind_trade_policy_desc;ÀÌ¿ô³ª¶ó¿Í ¿ì¸®³ª¶óÀÇ Á¾·¡ ¹«¿ªÁ¤Ã¥µéÀº ÇöÀç ¿©´çÀÇ ¹«¿ªÁ¤Ã¥°ú ÀÏÄ¡ÇÏÁö ¾Ê½À´Ï´Ù.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
