;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
noculture;문화없음;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocasusbelli;전쟁명분 없음;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocasusbelli_desc;전쟁명분이 없습니다.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocasusbelli_setup;전쟁명분이 없습니다.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocasusbelli_short;전쟁명분 없음;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
developing_tech_school;학파 개발 중;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a_sad_day;$COUNTRY$의 비극.;A sad day for $COUNTRY$.;;;;;;;;;;;;x
aar_fake1;최근 수도에서 고양이 복면을 쓴 사람이 '야수조련사'라 자칭하며 행하는 범죄 행위가 목격됐습니다.;Lately our capital has seen crime-fighting actions by a lone individual in feline dress styling himself 'The Catman', repelling sharks as he goes.;;Seit neustem existiert in unserer Hauptstadt ein einsamer Verbrechensbek쬦pfer in einem Katzenkost쬦 der sich selbst 'Der Katzenman' nennt, und woimmer er ist Haie zur쬦ktreibt.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
aar_fake1_title;복면 쓴 자경단원의 습격!;Masked vigilante strikes!;;Maskierter Ordnungsh쬦er schl쬦t zu!;;;;;;;;x;;;;;;;;;;;;;;;;;;;
aar_fake2;어제 독일의 유명한 수학자 칼 프리드리히 가우스가 죽었습니다. 수학자들은 수세기 동안 그를 기억할 것입니다. 그는 수학을 '과학의 여왕'이라고 이름지었습니다.;Yesterday Carl Friedrich Gauss, the famous German mathematician, died. Mathematicians will remember him for centuries. He named mathematics 'the queen of sciences'.;;Gestern ist der bedeutende deutsche Mathematiker Carl Friedrich Gauss gestorben. Mathematiker in aller Welt werden sich f쬦 Jahrhunderte an ihn zur쬦kerinnern. Er nannte die Mathematik 'K쬦igin der Wissenschaften';;;;;;;;x;;;;;;;;;;;;;;;;;;;
aar_fake2_title;가우스 사망;Gauss Dies;;Gauss gestorben;;;;;;;;x;;;;;;;;;;;;;;;;;;;
aar_fake3;1848년 영국령 북아메리카 노바스코티아의 식민지에 최초의 책임 정부가 세워졌습니다. 해당 정부는 제임스 유니악과 조셉 하우(Joseph Howe)가 이끌게 됐습니다.;In the year of 1848 the first responsible government in British North America is established in the colony of Nova Scotia, and is led by James Uniacke and Joseph Howe.;;Im Jahre 1848 wurde die erste verantwortungsvolle britische Regierung Nord Amerikas in der Kolonie von Nova Scotia gegr쬦det, welche von James Uniacke und Joseph Howe gef쬦rt wird.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
aar_fake3_title;책임 정부!;Responsible Government!;;Verantwortungsvolle Regierung!;;;;;;;;x;;;;;;;;;;;;;;;;;;;
abandon_beiyang_faction_desc;북양군의 목표는 더 이상 우리 것이 아닙니다. 우리의 이념이 바뀌었으니, 충성의 대상도 바뀌어야 합니다. 내전은 계속됩니다!;The goals of the Beiyang Army are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x;
abandon_beiyang_faction_title;북양파 탈퇴;Abandon the Beiyang;;;;;;;;;;;;x,;
abandon_communist_faction_desc;공산당의 목표는 더 이상 우리 것이 아닙니다. 우리의 이념이 바뀌었으니, 충성의 대상도 바뀌어야 합니다. 내전은 계속됩니다!;The goals of the Communists are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x;
abandon_communist_faction_title;공산당 탈퇴;Abandon the Communists;;;;;;;;;;;;x,;
