CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
COUNTRYALERT_CanRemoveFromSphere;쬨영향권쬦 이탈 가능 국가: ;We can remove nations from our 쬨Sphere of Influence쬦:;Nous pouvons sortir des pays de notre 쬨Sphere of Influence쬦!;Wir k쬦nen Nationen aus unserer 쬨Einflusssph쬦e쬦 entfernen:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
COUNTRYALERT_ColonialBad_influence;쬨$REGION$쬦 쬟지방의 식민지 경쟁에서 밀리고 있습니다.쬦;쬟We are losing the race in 쬦쬨$REGION$쬦;;쬟Wir verlieren den Wettlauf um 쬦쬨$REGION$쬦;;;;;;;;x;;;;;;;;;;;;;;;;;;;
COUNTRYALERT_ColonialGood_colony;쬨$REGION$쬦 쬒지방의 식민주를 설립할 수 있습니다.쬦;쬒We can create a colony in 쬦쬨$REGION$쬦;;쬒Wir k쬦nen eine Kolonie in 쬦쬨$REGION$쬦errichten!;;;;;;;;x;;;;;;;;;;;;;;;;;;;
COUNTRYALERT_ColonialGood_invest;쬨$REGION$쬦 쬒지방의 식민지에 투자할 수 있습니다.쬦;쬒We can invest in our a colony in 쬦쬨$REGION$쬦;;쬒Wir k쬦nen in eine unserer Kolonien in 쬦쬨REGION$쬦 investieren!;;;;;;;;;;x;;;;;;;;;;;;;;;;;
COUNTRYALERT_ColonialGood_protectorate;쬨$REGION$쬦 쬒지방의 보호령을 설립할 수 있습니다.쬦;쬒We can create a protectorate in 쬦쬨$REGION$쬦;;쬒Wir k쬦nen ein Protektorat in 쬦쬨$REGION$쬦errichten!;;;;;;;;x;;;;;;;;;;;;;;;;;;;
EVTDESC2030_NEW;"안자 예이...뭐죠?\n"아니야 예지르스카입니다. 제 이름이 발음하기 힘든가요?"\n"약간 그렇습니다. 취직이 어려울 수도 있겠습니다. 개명하시겠습니까?"\n\n발음하기 힘든 이름과 이상한 철자가 구직 이민자들에게 걸림돌로 작용할 수 있습니다.;;Anja Yesi-whatnow쬦'\n'Aniya Yezierska. Is my name unpronounceable쬦'\n'Kind of. Would you like to change it쬦 It could be difficult for you to get a job otherwise.'\n\nUnpronounceable names and strange spellings could cause trouble for job-seeking immigrants.;Anja Yesi-whatnow 쬦 \n Aniya Yezierska. Mon nom est impronon쬦ble 쬦 \n ""En quelques sortes"". Souhaitez-vous le changer 쬦 Il pourrait 쬦re difficile pour vous de trouver un emploi ailleurs.\n\n Les noms 쬦ranges", impronon쬦bles et avec une dr쬦e d'orthographe pourraient causer des ennuis 쬦la recherche d'emploi des immigrants.;Anja Yesi-was쬦'\n'Aniya Yezierska. Ist mein Name unaussprechbar쬦'\n'Irgendwie schon. M쬦hten Sie ihn 쬦dern쬦 Es kann sonst schwierig f쬦 Sie sein, Arbeit zu finden.'\n\nUnaussprechliche Namen und merkw쬦dige Buchstabierungen k쬦nen f쬦 arbeitsuchende Einwanderer 훣ger bedeuten;;풞nja Yesi-qu쬦\n'Aniya Yezierska. 풢s que mi nombre es impronunciable쬦'\n'Bastante. 풯uerr쬦s cambiarlo쬦 De otro modo, te costar쬦encontrar trabajo.'\n\nLos nombres impronunciables y dif쬦iles de deletrear pueden causar problemas a los inmigrantes en busca de trabajo.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
GW_INTERVENE_MAX_EXHAUSTION;염전도가 쬒$MAX$쬦보다 낮아야 합니다. 현재 염전도는 쬨$VAL$쬦입니다.;Our war exhaustion cannot be greater than 쬒$MAX$쬦. Currently it is 쬨$VAL$쬦.;Notre lassitude de guerre ne doit pas 쬦re sup쬦ieure 쬦쬒$MAX$쬦 Actuellement elle est de 쬨$VAL$쬦.;Unsere Kriegserm쬦ung darf nicht h쬦er als 쬒$MAX$쬦 sein. Gegenw쬦tig liegt diese bei 쬨$VAL$쬦.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_TECH_SCHOOL; 기술학파: 쬨$TECH$쬦\n;Currently 쬨$TECH$쬦.\n;Actuellement, 쬨$TECH$쬦.\n;Derzeit 쬨$TECH$쬦.\n;;Actualmente 쬦TECH$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
MOB_ECO_IMPACT;동원령으로 인한 경제 영향: -쬒$VALUE$쬦;Our development reduces it by 쬒-$VALUE$쬦.;Notre d쬦eloppement r쬦uit l'impact 쬦onomique de la mobilisation de 쬒-$VALUE$쬦.;Wirtschaftlicher Effekt von Mobilisierung ist 쬦G$VALUE$쬦.;;Nuestro desarrollo lo reduce en 쬒-$VALUE$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
MOVEMENT_RADICALISM_ACCUMULATED;억제점: 쬟$VAL$쬦;Suppression: 쬟$VAL$쬦;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
