;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
IS_IN_REGION; 지역에 있습니다.;Est dans la r?ion;Ist in der Region ;;Est?en la regi?;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tozama_daimyo;도자마 다이묘;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fudai_daimyo;후다이 다이묘;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
emperor_meiji;메이지 천황;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
supports_imperial_edict;양이칙령 지지;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
angered_by_bakufu;막부에 분노함;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku;쇄국;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku_desc;'나라를 걸어잠그다'를 의미하는 쇄국은 외국인이 일본에 입국할 수 없게 하는 정책입니다. 에도 막부의 치세인 17세기부터 국가를 고립된 상태로 유지했습니다.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
rangaku;난학;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rangaku_desc;'화란(네덜란드)의 학문'을 의미하는 난학은 일본이 데지마라는 인공섬에서 네덜란드와 접촉하여 개발한 서양의 지식들을 말합니다. 일본은 쇄국 정책을 유지하면서도 네덜란드와는 교역을 유지해 서양의 기술과 의학을 계속 접할 수 있었습니다.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
ansei_purge;안세이 대옥;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai;공무합체;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai_desc;이것은 막부와 천황 사이의 정치적 평등을 강화하고 막부 내 정적들을 달래는 것을 목표로 하는 에도 막부의 정책입니다.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
fukoku_kyohei;부국강병;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME185;$COUNTRY$의 금주?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC185;올해 한 주에서 $COUNTRY$ 금주연맹의 활동이 점점 더 활발해지고 있습니다. 이들의 활동은 주로 선술집과 주류 상인들을 괴롭리는 것입니다. 그 중에서 정치적 성향이 강한 많은 회원들이 $CAPITAL$의 정부 구성원에게 접근해 금주운동에 대한 지원을 요구하기도 했습니다.;The $COUNTRY$ Temperance League has been increasingly active in one of our states this year, with a campaign to harass local public houses and liquor merchants. Many of their more politically-minded members have even approached members of the government in $CAPITAL$, pushing for greater support for their campaign.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME186;$COUNTRY$의 난봉꾼;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC186;$COUNTRY$의 자유주의적 문화는 비판을 불러 일으켰고, 정부의 고위 각료에 대한 추문 소식도 터져나왔습니다. $CAPITAL$에서 몇몇 목사는 부도덕한 거래로 기소되어 정부는 절제와 절제를 촉구하는 종교 단체를 지원할 것을 촉구하고 있습니다.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2600;$STATENAME$ 통합;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
