;;;;;;;;;;;;;x,,,,
EVTNAME96000;전쟁 임박;War is Upon Us;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;x,,,,
EVTDESC96000;$COUNTRY$은(는) 강대국과의 전면전 상태에 있습니다. 전쟁으로 수백만명을 살상할 수 있는 현대시대에, 우리나라의 미래는 위기에 처할 수도 있습니다. $COUNTRY$ 사람들에게 통화가 걸려왔습니다. "일상 생활, 개인적 야망은 무시하십시오. $COUNTRY$을(를) 위해 협력하십시오.";$COUNTRY$ is in a state of total war with one of the Great Powers of the world. In a modern age where warfare has the capability of killing millions, the very future of our nation could be at stake. The call has gone out to the $COUNTRY$ people: put aside your petty differences," your day-to-day lives and your personal ambitions. $COUNTRY$ must pull together in this, our hour of need!;;;;;;;;;;;;x",,
EVTOPTA96000;반드시 승리하리라!;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;x,,,,
EVTNAME96010;$CAPITAL$ 조약;Le Trait?de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;x,,,,
EVTDESC96010;우리 $COUNTRY$은(는) 전쟁에서 졌고, 승전국들은 굶주린 독수리마냥 우리 앞에 섰습니다. 그들은 $COUNTRY$을(를) 해체한다는 굴욕적인 협상을 강요했습니다. 이 조약에 따르면 패전국은 해외 식민지를 절대 보유할 수 없습니다. 오랫동안 기억해야 할 치욕의 순간입니다.;We have lost the war, and like vultures the victors have descended upon us. We have been forced to the bargaining table to accept humiliating terms regarding the breakup of our empire, with many of our lands simply given away, and we shall be permitted no overseas holdings whatsoever. This is a moment that shall be remembered in $COUNTRY$ for years to come.;;;;;;;;;;;;;x,
EVTNAME96004;전쟁 요구;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
EVTDESC96004;전쟁을 지속하는 현재 상황이 국민에게 피해를 입히고 있습니다. 생필품의 부족과 지지부진한 전황이 국민들의 전쟁 열의를 약화시키고 있습니다. 사태를 곧 호전하지 않는다면 국경 안에서 지쳐가는 피로와 불안감에 직면할 수 있습니다.;The constant state of war $COUNTRY$ is under has taken its toll on our people. Shortages of basic goods and the failure to deliver swift victory have worn down the enthusiasm with which the $COUNTRY$ people initially greeted the war effort. If things don't turn around soon, we could face growing weariness and unrest within our own borders.;;;;;;;;;;;;;x,,,
EVTOPTA96004;이 전쟁에서 승리하리라!;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;x,,,,
EVTNAME96005;모두를 위한 것?;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles F? Nichts?;;;;;;;;;;;x,,,,
EVTDESC96005;$CAPITAL$에서 증가하는 시위는 $COUNTRY$ 사람들의 지배적인 감정을 보여줍니다. 당장 전쟁을 끝내라는 것입니다. 대체 무엇을 위해 많은 것이 목숨을 바치고 희생했을까요? 사람들은 끊임없는 전쟁의 망령이 자신의 머리 위에 맴도는 것보다는 일상생활로 돌아가고 싶어합니다.;Growing demonstrations in $CAPITAL$ demonstrate the prevailing attitude of the $COUNTRY$ people: get us out of the war, and soon. Too many have been lost, too many sacrifices made, and all for what? The people wish to go back to their regular lives, without the constant spectre of war hanging over their heads.;;;;;;;;;;;;;x
