;;;;;;;;;;;;x,,,,
state_of_emergency_modifier;비상사태;State of Emergency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
state_of_emergency_modifier_desc;비상 사태 혹은 예외사태란 정부가 일부 기간 동안 행정부, 입법부 및 사법부의 일부 기능을 중지 및 변경할 수 있음을 의미합니다. 시민들에게 정상적인 행동을 바꾸도록 경고하고 정부 기관에 비상계획을 이행하도록 명령합니다. 정부는 자연/인간재해, 소요나 전쟁 또는 국내외의 무력충돌상황에 따라 비상사태를 선포할 수 있습니다.;State of Emergency or State of Exception means that the government can suspend and/or change some functions of the executive, the legislative and/or the judiciary during this period of time. It alerts citizens to change their normal behavior and orders government agencies to implement emergency plans. A government can declare a state of emergency during a time of natural or human-made disaster, during a period of civil unrest, or following a declaration of war or situation of international/internal armed conflict.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ANY_ALL; 전체 지역;Any province;;;;;;;;;;;;;x,,,,
HAS_NOT_GOODS; 생산: ;produces ;;;;;;;;;;;;;x,,,,
IS_IN_REGION; (이)가 지역 안에 있음: ; is in the region ;Est dans la r?ion;Ist in der Region ;;Est?en la regi?;;;;;;;;;x,,,,
TRIGMOD_HEADER;$MONARCHTITLE$의 보고:;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi퉨any z okre쐋onym wydarzeniem wp퀉wa na twoje pa?two (np. c쿽 narzucone przez pa?two trzecie);$head_of_government$ informa de;Quando subisci l'influenza di un modificatore condizionato (ad es. il Pedaggio sullo Stretto);Mikor valami esem?y m?osul?a van r? hat?sal (kor?bi hang-v?);Kdy?jste subjektem trojn?obn?o modifik?oru;;;;;;x,,,
TRIGMODLOST_HEADER;$MONARCHTITLE$의 보고:;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi퉨any z okre쐋onym wydarzeniem przestaje oddzia퀉wa?na twoje pa?two (np. c쿽 narzucone przez pa?two trzecie);$head_of_government$ informa de;Quando l'effetto di un modificatore condizionato (ad es. il Pedaggio sullo Stretto) cessa;Mikor egy m?os??t okoz?esem?y befejez?ik (kor?bi hang-v?);Kdy?jste subjektem trojn?obn?o modifik?oru.;;;;;;x,,,
TRIGGER_CIV_PROGRESS_LESS;문명화 진행률: 쬨50쬦%;Civilization progress: 쬨50쬦%;;;;;;;;;;;;x,,,,
had_liberal_revolution;자유주의 혁명 종료;Liberal Revolution has ended;;;;;;;;;;;;x,,,,
attending_berlin_congress;회의 참석;Attending the Congress;;;;;;;;;;;;x,,,,
oriental_crisis_support_OE;오스만 지원;Supports the Ottomans;;;;;;;;;;;;x,,,,
oriental_crisis_support_Egypt;이집트 지원;Supports the Egyptians;;;;;;;;;;;;x,,,,
MAJORITY_IS_NOT; 대다수 아님: ;Majority of the population is not ;;;;;;;;;;;;x,,,,
crimean_surrender;오스만 제국 항복;the Ottomans have surrendered;;;;;;;;;;;;x,,,,
colonial_chaos;식민지 혼돈;Colonial Chaos;;;;;;;;;;;;x,,,,
