;;;;;;;;;;;;;;x,,,
HAS_NO_UNION_TAG; 문화연합 있음;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$일;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ d?s.;;;;;;;;;x;
breton;브르타뉴;Breton;Breton;Bretonisch;;;;;;;;;;;x
occitan;옥시타니아;Occitan;Occitain;Occitanisch;;;;;;;;;;;x
HAS_GOODS;생산물;produces ;;;;;;;;;;;;;x,,,
assyrian;아시리아;Assyrian;;;;;;;;;;;;;x,,,
xhosa;호사;Xhosa;;;;;;;;;;;;;x,,,
shinto;신토;Shinto;;;;;;;;;;;;;x,,,
sephardic;세파르디;Sephardic;;;;;;;;;;;;x,,,
picard;피카르디;Picard;;;;;;;;;;;;x,,,
jewish_cultures;유대;Jewish;;;;;;;;;;;;x,,,
far_east_asian;극동;Far East Asian;;;;;;;;;;;;x,,,
arabic;아랍;Arabic;;;;;;;;;;;;x,,,
pan_albanian;알바니아;Albanian;;;;;;;;;;;;x,,,
HAS_SIEGE;포위당함;Under Siege;;;;;;;;;;;;x,,,
separatist_rebels_title;분리주의 반군;Patriot;;;;;;;;;;;;x,,,
separatist_rebels_name;$CULTURE$ 분리주의 반군;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
separatist_rebels_desc;이 반군들은 자신의 지역이 모국의 깃발 아래 통합되기를 꿈꿉니다. 그들이 장악한 지역은 그들의 모국에 합병될 것입니다.;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,,
separatist_rebels_army;$CULTURE$ 분리주의 반군;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_title;튀르크 민족주의자;Turkish Nationalist;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_name;튀르크 민족주의자;Turkish Nationalists;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_desc;튀르크 민족주의자들은 오스만 제국을 무너뜨리고 공화국으로 대체하려 노력합니다.;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;x,,
turkish_nationalist_rebels_army;튀르크 민족주의자;Turkish Nationalists;;;;;;;;;;;;x,,,
socialist_rebels_title;호전적 사회주의자;Militant Socialist;;;;;;;;;;;;x,,,
socialist_rebels_name;호전적 사회주의자;Militant Socialists;;;;;;;;;;;;x,,,
socialist_rebels_army;호전적 사회주의자;Militant Socialists;;;;;;;;;;;;x,,,
indian_nationalists_title;인도 민족주의자;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_name;인도 민족주의자;Indian Nationalists;$UNION$ - Pan-nationalistes;$UNION$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_desc;인도 민족주의자들은 어떤 방법으로든 인도를 자유롭고 독립적인 민족 국가로 통합하려고 합니다. 이것은 외국의 억압으로부터 자유로워지고 그들의 문화적 혈연과 결합하는 것을 포함합니다.;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,,
indian_nationalists_army;인도 민족주의자;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
christino_rebels_title;크리스티노;Christino;;;;;;;;;;;;x,,,
christino_rebels_name;크리스티노;Christinos;;;;;;;;;;;;x,,,
christino_rebels_desc;크리스티노들은 페르난도 7세의 왕조를 지지하며 현 왕조를 찬탈자로 간주합니다. 그들은 페르난도 7세의 딸인 크리스티나를 복위시키려 하며, 현 왕실이 추진한 진보적 개혁도 폐지하려고 합니다.;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x,
christino_rebels_army;크리스티노;Christinos;;;;;;;;;;;;x,,,
independence_rebels_title;독립군;Independence;;;;;;;;;;;;x,,,
independence_rebels_name;독립군;Independence Rebels;;;;;;;;;;;;x,,,
independence_rebels_desc;독립군들은 자신의 조국을 해방시키려 노력합니다.;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;x,,,
independence_rebels_army독립군;Independence Rebels;;;;;;;;;;;;x,,,
native_rebels_title;반식민지 반군;Anti-Colonial;;;;;;;;;;;;x,,,
native_rebels_name;반식민지 반군;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
native_rebels_desc;반식민지 반군들은 자신의 나라의 통치권을 원래대로 되돌리려 합니다.;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;x,,,
native_rebels_army;반식민지 반군;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
liberal_rebels_desc;자코뱅파는 전제군주제 하에서 입헌군주제를 시행하려 합니다. 그 다음에는 진보적 이념과 정치개혁에 초점을 맞춘 민주 정부를 수립하려 노력할 것입니다.;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;x,
NOT_STRONGER_ARMY_THAN;군사력 < ;Does not have a stronger military than ;;;;;;;;;;;;x,,,
STRONGER_ARMY_THAN;군사력 < ;Has a stronger military than ;;;;;;;;;;;;x,,,
regular;정규군;Regular;;;;;;;;;;;;x,,,
regular_short;정규군;Reg;;;;;;;;;;;;x,,,
horse_artillery;기동포병;Mobile Artillery;;;;;;;;;;;;x,,,
horse_artillery_short;기동포병;M-art;;;;;;;;;;;;x,,,
no_personality;개성 없음;No Personality;Aucune;Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
active_p;활동적임;Active;Actif;Aktiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
au_fait;정통함;Au'fait;Au fait;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
apathetic;심드렁함;Apathetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
audacious;대담함;Audacious;Audacieux;K?n;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
able;Able;유능함;Capable;F?ig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aweless;두려움이 없음;Aweless;Casse-cou;Respektlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aggressive;공격적임;Aggressive;Agressif;Aggressiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
