fascist_uh;파쇼는 사회 개혁의 시행과 정치개혁의 후퇴를 지지합니다. 그러나 여당이 아니면 어떠한 개혁도 반대합니다.;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;;;;;;;;;;;;x;
reactionary_uh;반동주의자는 모든 개혁의 시행을 반대하며, 동시에 후퇴를 지지합니다.;Reactionaries always attempt to roll back both political and social reforms.;;;;;;;;;;;;x;
conservative_uh;보수주의자는 현상 유지를 선호합니다. 그러나 불만도가 높으면 정치개혁의 후퇴를 지지합니다.;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;;;;;;;;;;;;x;
socialist_uh;사회주의자는 사회개혁의 시행을 지지합니다. 그러나 불만도가 높으면 정치개혁의 후퇴를 지지합니다.;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;;;;;;;;;;;;x;
communist_uh;공산주의자는 사회개혁의 시행과 정치개혁의 후퇴를 지지합니다.;Communists want to enact social reforms, but want to see political reforms rolled back.;;;;;;;;;;;;x;
liberal_uh;자유주의자는 정치개혁의 시행을 지지합니다. 그러나 불만도가 높으면 사회개혁의 시행도 지지합니다.;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;;;;;;;;;;;;x;
anarcho_liberal_uh;아나르코자본주의자는 사회개혁의 후퇴를 지지하며, 어떠한 개혁의 시행도 지지하지 않습니다.;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;;;;;;;;;;;;x;
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 해방전쟁;$ORDER$$FIRST_COUNTRY$ War of $COUNTRY$ Freedom;;;;;;;;;;;;x;
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 해방전쟁;$ORDER$$FIRST_COUNTRY$ War of Propping up $COUNTRY$;;;;;;;;;;;;x;
NORMAL_WAR_COLONIAL_NAME;$ORDER$$STATE$ 정복전쟁;$ORDER$$FIRST_COUNTRY$ Colonial Conquest of $STATE$;;;;;;;;;;;;x;
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$STATE$ 식민지전쟁;$ORDER$$FIRST_COUNTRY$ Colonial War for $STATE$;;;;;;;;;;;;x;
NORMAL_WAR_TAKE_NAME;$ORDER$$ORDER$$STATE$ 정복전쟁;$ORDER$$FIRST_COUNTRY$ Conquest of $STATE$;;;;;;;;;;;;x;
AGRESSION_WAR_TAKE_NAME;$ORDER$$STATE$ 전쟁;$ORDER$$FIRST_COUNTRY$ War of $STATE$;;;;;;;;;;;;x;
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$STATE$ 해방전쟁;$ORDER$$FIRST_COUNTRY$ Liberation of $STATE$;;;;;;;;;;;;x;
