#cb_types.txt;;;;;;;;;;;;;;
dismantle_cb;국가 해체;Dismantle Nation;Grande Guerre;Gesamtkrieg;;;;;;;;;;;
dismantle_cb_short;$RECIPIENT$에게 제국 해체 요구;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_desc;적 쬨강대국쬦에게 제국 해체와 배상금 지불을 요구합니다.;Force an enemy 쬨great power쬦 to dismantle their empire and pay reparations;Obliger un autre 쬨pays쬦 a se desarmer et a nous verser des compensations;Zwischen Sie ein anderes 쬨Land쬦 zur Abrustung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_setup;$RECIPIENT$에게 제국 해체를 요구합니다.;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add;국가 해체;Dismantle Nation;Grande Guerre;Großer Krieg;;;;;;;;;;;
dismantle_cb_add_short;$RECIPIENT$에게 제국 해체 요구;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_desc;적 쬨강대국쬦에게 제국 해체와 배상금 지불을 요구합니다.;Force an enemy 쬨great power쬦 to dismantle their empire and pay reparations;Obliger un autre 쬨pays쬦 a se desarmer et a nous verser des compensations;Zwischen Sie ein anderes 쬨Land쬦 zur Abrustung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_add_setup;$RECIPIENT$에게 제국 해체를 요구합니다.;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_new;국가 해체;Dismantle Nation;Grande Guerre;Großer Krieg;;;;;;;;;;;
dismantle_cb_add_new_short;$RECIPIENT$에게 제국 해체 요구;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_new_desc;적 쬨강대국쬦에게 제국 해체와 배상금 지불을 요구합니다.;Force an enemy 쬨great power쬦 to dismantle their empire and pay reparations;Obliger un autre 쬨pays쬦 a se desarmer et a nous verser des compensations;Zwischen Sie ein anderes 쬨Land쬦 zur Abrustung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_add_new_setup;$RECIPIENT$에게 제국 해체를 요구합니다.;Force $RECIPIENT$ to dismantle their empire;Reduire $RECIPIENT$;Reduzieren Sie die Große von $RECIPIENT$;;;;;;;;;;;
acquire_core_state;영유권 수복;Acquire core;Prendre territoire cle;Kernprovinz erwerben;;;;;;;;;;;
acquire_core_state_short;$STATE$ 수복;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
acquire_core_state_desc;우리나라의 쬨영유권 보유 지역쬦이 속한 쬨주쬦를 획득합니다.;Aquire an enemy 쬨state쬦 where we have 쬨core provinces쬦;Prendre un 쬨Etat쬦 ennemi ou nous avons des 쬨provinces principales쬦;Erobern Sie einen feindlichen 쬨Staat쬦, in dem wir 쬨Kernprovinzen쬦 haben.;;;;;;;;;;;
acquire_core_state_setup;$RECIPIENT$에게서 $STATE$을(를) 획득합니다.;Acquire core $STATE$ from $RECIPIENT$;Prendre Etat cle $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
acquire_all_cores;전체 영유권 수복;Acquire All Cores;;;;;;;;;;;;;
acquire_all_cores_short;$RECIPIENT$이 점유한 전체 영유권 수복;Acquire all cores from $RECIPIENT$;;;;;;;;;;;;;
acquire_all_cores_desc;우리나라의 쬨영유권 보유 지역쬦이 속한 쬨주쬦들을 획득합니다.;Aquire all enemy 쬨states쬦 where we have 쬨core provinces쬦;;;;;;;;;;;;;
acquire_all_cores_setup;$RECIPIENT$에게서 전체 영유권 보유 지역을 획득합니다.;Acquire all core provinces from $RECIPIENT$;;;;;;;;;;;;;
unification_casus_belli;통일전쟁;War of Unification;Guerre d'unification;Vereinigungskrieg;;;;;;;;;;;
unification_casus_belli_short;$STATE$ 해방;Liberate $STATE$ ;Liberer $STATE$ ;Befreien Sie $STATE$;;;;;;;;;;;
unification_casus_belli_desc;우리나라의 쬨문화연합쬦의 영유권이 미치는 지역을 해방합니다.;;Liberate core territory of our 쬨Cultural Union쬦;Liberer un territoire cle de notre 쬨union culturelle쬦;Befreien Sie das Kerngebiet unserer 쬨Kulturunion쬦;;;;;;;;;;;
unification_casus_belli_setup;우리나라의 쬨문화연합쬦의 영유권이 미치는 지역을 해방합니다.;Liberate core territory of our 쬨Cultural Union쬦.;Liberez un territoire cle de notre 쬨union culturelle쬦.;Befreien Sie das Kerngebiet unserer 쬨Kulturunion쬦;;;;;;;;;;;
civil_war;내전;Civil War;Guerre civile;Burgerkrieg;;;;;;;;;;;
civil_war_short;국가 통일;Unite the nation;Unifier la nation;Einen Sie die Nation!;;;;;;;;;;;
civil_war_desc;우리나라는 내전 상황입니다.;Your nation is in a state of civil war;Votre nation est en guerre civile;Ihre Nation befindet sich in einem Burgerkrieg.;;;;;;;;;;;
civil_war_setup;국가를 한 깃발 아래 다시 통합함으로써 전쟁을 끝냅니다.;End the war by reuniting our nation under a common banner again.;Mettez fin a la guerre en reunifiant notre nation sous une meme banniere.;Beenden Sie den Krieg durch die Wiedervereinigung unserer Nation unter einer gemeinsamen Flagge.;;;;;;;;;;;
unification_annex_casus_belli;통일전쟁;War of Unification;Guerre d'unification;Vereinigungskrieg;;;;;;;;;;;
unification_annex_casus_belli_short;합병;Annexation;Annexion;Annektierung;;;;;;;;;;;
unification_annex_casus_belli_desc;우리나라의 쬨문화연합쬦의 영유권이 미치는 지역을 해방합니다.;Liberate core territory of our 쬨Cultural Union쬦.;Liberez un territoire cle de notre 쬨union culturelle쬦.;Befreien Sie das Kerngebiet unserer 쬨Kulturunion쬦;;;;;;;;;;;
unification_annex_casus_belli_setup;우리나라의 쬨문화연합쬦의 영유권이 미치는 지역을 해방합니다.;Liberate core territory of our 쬨Cultural Union쬦.;Liberez un territoire cle de notre 쬨union culturelle쬦.;Befreien Sie das Kerngebiet unserer 쬨Kulturunion쬦;;;;;;;;;;;
annex_core_country;질서 회복;Restore Order;Retablir l'ordre;Stellen Sie die Ordnung wieder her;;;;;;;;;;;
annex_core_country_short;$RECIPIENT$ 합병;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;;
annex_core_country_desc;영토 전체가 우리나라의 영유권에 속하는 쬨국가쬦를 합병합니다.;Annex a foreign 쬨country쬦 all provinces of which are your cores.;Annexez un 쬨pays쬦 etranger dont toutes les provinces sont vos territoires cles.;Annektieren Sie alle Provinzen eines auslandischen 쬨Landes쬦, die zu Ihren Kernprovinzen gehoren.;;;;;;;;;;;
annex_core_country_setup;$RECIPIENT$을(를) 합병합니다.;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;;
add_to_sphere;영향권 편입;Add to Sphere;ajouter a la sphere;In Einflusssphare aufnehmen;;;;;;;;;;;
add_to_sphere_short;$RECIPIENT$ 영향권 편입;Add $RECIPIENT$ to Sphere of Influence;ajouter $RECIPIENT$ a la sphere d'influence;$RECIPIENT$ in Einflusssphare aufnehmen;;;;;;;;;;;
add_to_sphere_desc;국가를 우리나라의 쬨영향권쬦에 편입합니다.;Add country to our 쬨Sphere of Influence쬦;Ajouter un pays a notre 쬨sphere d'influence쬦;Fugen Sie das Land Ihrer 쬨Einflusssphare쬦 hinzu.;;;;;;;;;;;
add_to_sphere_setup;$RECIPIENT$을(를) 영향권에 편입합니다.;Add $RECIPIENT$ to Sphere of Influence;ajouter $RECIPIENT$ a la sphere d'influence;$RECIPIENT$ in Einflusssphare aufnehmen;;;;;;;;;;;
unification_humiliate_cb;패권 주장;Assert Hegemony;Imposer l'hegemonie;Vorherrschaft durchsetzen;;;;;;;;;;;
unification_humiliate_cb_short;패권 인용;Admit Hegemony;Admettre l'hegemonie;Vorherrschaft anerkennen;;;;;;;;;;;
unification_humiliate_cb_desc;문화연합이 같은 강대국에게 주도권 이양을 요구합니다.;Force another Great Power to concede your leadership over your common cultural union. All his influence over countries in the area will be lost.;Force une autre Grande Puissance a vous conceder la primaute dans votre union culturelle commune. Toute son influence sur les pays de la zone sera perdue.;Zwingen Sie eine andere Großmacht, Ihre Fuhrung Ihrer gemeinsamen Kulturunion zu akzeptieren. Der Einfluss der anderen Macht uber Lander in dieser Region geht dadurch verloren.;;;;;;;;;;;
unification_humiliate_cb_setup;문화연합이 같은 강대국에게 주도권 이양을 요구합니다.;Force another Great Power to concede your leadership over your common cultural union.;Force une autre Grande Puissance a vous conceder la primaute dans votre union culturelle commune.;Zwingen Sie eine andere Großmacht, Ihre Fuhrung Ihrer gemeinsamen Kulturunion zu akzeptieren.;;;;;;;;;;;
unification_GP_humiliate;통일 - 모욕;Unification Humiliate;Humilier;Erniedrigen;;Humillar;;;;;;;;;
unification_GP_humiliate_short;$RECIPIENT$ 모욕;Humiliate $RECIPIENT$;Humilier $RECIPIENT$;$RECIPIENT$ erniedrigen;;Humillar a $RECIPIENT$;;;;;;;;;
unification_GP_humiliate_desc;쬨문화권이 같은 강대국쬦에게 모욕을 줌으로써 군사력을 과시하고, 우리나라의 쬨위신쬦을 높임과 동시에 그들의 위신을 낮춥니다.;Show our military might by humiliating an enemy 쬨greater power of our culture group쬦, thus increasing our 쬨prestige쬦 while lowering theirs;Afficher notre puissance militaire en humiliant un 쬨pays쬦 ennemi et en augmentant notre 쬨prestige쬦 tout en reduisant le leur;Zeigen Sie unsere Militarmacht durch Erniedrigung eines feindlichen 쬨Landes쬦, wodurch Sie unser 쬨Prestige쬦 steigern und ihres verringern.;;Demostrar nuestro poder militar humillando a un 쬨pais쬦 enemigo, para aumentar nuestro 쬨prestigio쬦 y reducir el suyo;;;;;;;;;
unification_GP_humiliate_setup;$RECIPIENT$을(를) 모욕합니다.;Humiliate $RECIPIENT$;Humilier $RECIPIENT$;$RECIPIENT$ erniedrigen;;Humillar a $RECIPIENT$;;;;;;;;;
unification_add_to_sphere;통일 - 영향권 편입; Unification Add to Sphere;ajouter a la sphere;In Einflusssphare aufnehmen;;;;;;;;;;;
unification_add_to_sphere_short;$RECIPIENT$ 영향권 편입;Add $RECIPIENT$ to Sphere of Influence;ajouter $RECIPIENT$ a la sphere d'influence;$RECIPIENT$ in Einflusssphare aufnehmen;;;;;;;;;;;
unification_add_to_sphere_desc;쬨문화권이 같은 국가쬦를 우리나라의 쬨영향권쬦에 편입합니다.;Add country 쬨of our culture group쬦 to our 쬨Sphere of Influence쬦;Ajouter un pays a notre 쬨sphere d'influence쬦;Fugen Sie das Land Ihrer 쬨Einflusssphare쬦 hinzu.;;;;;;;;;;;
unification_add_to_sphere_setup;$RECIPIENT$을(를) 영향권에 편입합니다.;Add $RECIPIENT$ to Sphere of Influence;ajouter $RECIPIENT$ a la sphere d'influence;$RECIPIENT$ in Einflusssphare aufnehmen;;;;;;;;;;;
take_from_sphere;영향권 강탈;Take from sphere of influence;Prendre a la sphere d'influence;Aus Einflusssphare entfernen;;;;;;;;;;;
take_from_sphere_short;$THIRD$ 평향권 편입;Take $THIRD$ from sphere of influence;Prendre $THIRD$ a la sphere d'influence;$THIRD$ aus Einflusssphare entfernen;;;;;;;;;;;
take_from_sphere_desc;타국의 쬨영향권쬦에 속하는 국가를 영향권에 편입합니다.;Remove a country from someone's 쬨Sphere of Influence쬦 and add it to our own;Supprimer un pays de la 쬨sphere d'influence쬦 de quelqu'un et l'ajouter a la notre;Entfernen Sie ein Land aus einer anderen 쬨Einflusssphare쬦 und fugen Sie es Ihrer eigenen hinzu.;;;;;;;;;;;
take_from_sphere_setup;$RECIPIENT$의 영향권에 속하는 $THIRD$을(를) 영량권에 편입합니다.;Take $THIRD$ from $RECIPIENT$'s sphere of influence;Prendre $THIRD$ a la sphere d'influence de $RECIPIENT$;$THIRD$ aus Einflusssphare von $RECIPIENT$ entfernen;;;;;;;;;;;
free_peoples;인민 해방;Free people;Peuple libre;Freies Volk;;;;;;;;;;;
free_peoples_short;$THIRD$ $STATE$ 수복;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
free_peoples_desc;압제자에게서 쬨국가쬦를 해방합니다.;Liberate a 쬨country쬦 from its oppressors;Liberer un 쬨pays쬦 de ses oppresseurs;Befreien Sie ein 쬨Land쬦 von seinen Unterdruckern.;;;;;;;;;;;
free_peoples_setup;$RECIPIENT$이(가) 점유한 $STATE$을(를) $THIRD$이(가) 수복합니다.;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ a $RECIPIENT$ pour le rendre a $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zuruck;;;;;;;;;;;
free_allied_cores;동맹국 영유권 수복;Free Allied Cores;Peuple libre;Freies Volk;;;;;;;;;;;
free_allied_cores_short;$THIRD$ $STATE$ 수복;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
free_allied_cores_desc;우리나라의 영향권에 속하는 쬨동맹국쬦의 영유권 보유 지역을 해방합니다.;Liberate cores belonging to an 쬨allied country쬦 in your sphere;Liberer un 쬨pays쬦 de ses oppresseurs;Befreien Sie ein 쬨Land쬦 von seinen Unterdruckern.;;;;;;;;;;;
free_allied_cores_setup;$RECIPIENT$이(가) 점유한 $STATE$을(를) $THIRD$이(가) 수복합니다.;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ a $RECIPIENT$ pour le rendre a $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zuruck;;;;;;;;;;;
release_puppet;괴뢰국 해방;Release Puppet;Liberer un Etat fantoche;Marionettenstaat entlassen;;;;;;;;;;;
release_puppet_short;$THIRD$ 해방;$THIRD$ is released;$THIRD$ est libere;$THIRD$ wurde entlassen;;;;;;;;;;;
release_puppet_desc;주권이 타국에 종속된 쬨국가쬦를 해방합니다.;Release a 쬨country쬦 from its sovereign nation;Liberer un 쬨pays쬦 de sa nation souveraine;Entlassen Sie ein 쬨Land쬦 von seinem Herrenland.;;;;;;;;;;;
release_puppet_setup;$RECIPIENT$에 종속된 $THIRD$을(를) 해방합니다.;Release $THIRD$ from $RECIPIENT$;Liberer $THIRD$ de $RECIPIENT$;Entlassen Sie $THIRD$ aus $RECIPIENT$;;;;;;;;;;;
release_puppet_AI;괴뢰국 해방;Release Puppet;Liberer un Etat fantoche;Marionettenstaat entlassen;;;;;;;;;;;
release_puppet_AI_short;$THIRD$ 해방;$THIRD$ is released;$THIRD$ est libere;$THIRD$ wurde entlassen;;;;;;;;;;;
