#Most keys defined in the ...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
aeroplane_factory;비행기 공장;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;;;;;;;;;;
aeroplane_factory_desc;비행기 생산에는 기계부품, 전자부품, 고무가 필요합니다.;Machine parts, electric gear and rubber are needed to produce aeroplanes.;Des pi?es m?aniques, des composants ?ectriques et du caoutchouc sont n?essaires pour produire des avions.;Zum Flugzeugbau sind Maschinenteile, Elektroteile und Gummi erforderlich.;;;;;;;;;;;
barrel_factory;전차 공장;Barrel Factory;Usine de chars;Gesch?zrohrfabrik;;;;;;;;;;;
barrel_factory_desc;탱크는 그저 움직이는 차대에 장착된 포에 지나지 않았습니다. 따라서, 탱크 생산에는 자동차와 포가 필요합니다.;Tanks were little more than artillery mounted on a moving chassis. Therefore, automobiles and artillery are required to produce tanks.;Les chars n'?aient gu?e plus que des pi?es d'artillerie mont?s sur un ch?sis mobile. Par cons?uent, des automobiles et des pi?es d'artillerie sont n?essaires pour produire des chars.;Panzer waren anf?glich kaum mehr als auf bewegliche Unters?ze montierte Artillerie. Daher sind Automobile und Artillerie zur Panzerproduktion erforderlich.;;;;;;;;;;;
automobile_factory;자동차 공장;Automobile Factory;Usine d'automobiles;Automobilfabrik;;;;;;;;;;;
automobile_factory_desc;자동차 생산에는 기계부품, 전자부품, 고무가 필요합니다.;Machine parts, electric gear and rubber are needed to produce automobiles.;Des pi?es m?aniques, des composants ?ectriques et du caoutchouc sont n?essaires pour produire des automobiles.;Zur Automobilproduktion sind Maschinenteile, Elektroteile und Gummi erforderlich.;;;;;;;;;;;
radio_factory;라디오 공장;Radio Factory;Usine de radios;Radiofabrik;;;;;;;;;;;
radio_factory_desc;라디오는 20세기 동안 가장 많이 소비된 물건입니다. 라디오 생산에는 유리와 전자부품이 필요합니다. ;Radios were one of the first mass consumergoods of the 20th centuary. Glass and electric gears are required for this.;Les radios furent parmi les premiers biens de consommation de masse du XXe si?le. Du verre et des composants ?ectriques sont n?essaires pour les produire.;Radioger?e geh?ten zu den ersten Massengebrauchsg?ern des zwanzigstens Jahrhunderts. F? diese Ger?e werden Glas und Elektroteile ben?igt.;;;;;;;;;;;
telephone_factory;전화기 공장;Telephone Factory;Usine de t??hones;Telefonfabrik;;;;;;;;;;;
telephone_factory_desc;전화기는 통신기술 발전의 결정체입니다. 전화기 생산에는 유리와 전자부품이 필요합니다.;The telephone is a major breakthrough in communications technology. Glass and electric gear is needed in this factory.;Le t??hone est une invention d?erminante dans le secteur des communications. Du verre et des composants ?ectriques sont n?essaires pour sa production.;Das Telefon ist ein wichtiger Durchbruch in der Kommunikationstechnologie. Glas und Elektroteile werden in dieser Fabrik gebraucht.;;;;;;;;;;;
electric_gear_factory;전자부품 공장;Electric Gear Factory;Usine de composants ?ectriques;Elektroteilefabrik;;;;;;;;;;;
electric_gear_factory_desc;자동차와 항공기 등의 다양한 전자제품을 생산하는데 쓰입니다. 전자부품 생산에는 고무, 석탄, 철이 필요합니다.;Using rubber, coal and iron, electric gear is produced. Electric gear is needed for a variety of things, among them automobiles and aeroplanes.;Les composants ?ectriques sont produits ?l'aide de caoutchouc, de charbon et de fer. Les composants ?ectriques sont n?essaires dans diff?ents secteurs, notamment pour la production d'automobiles et d'avions.;Elektroteile werden mit Gummi, Kohle und Eisen produziert. Elektroteile sind wichtig f? eine Reihe von Produkten, unter anderem f? Automobile und Flugzeuge.;;;;;;;;;;;
machine_parts_factory;기계부품 공장;Machine Parts Factory;Usine de pi?es m?aniques;Maschinenteilefabrik;;;;;;;;;;;
machine_parts_factory_desc;기계부품은 산업현장에서 매우 중요한 도구입니다. 기계부품 생산에는 구리와 석탄이 필요합니다.;Machine parts are very important tools for every industrial plant. Bronze and Coal are required to produce them.;;;;;;;;;;;;;
synthetic_oil_factory;Synthetic Oil Factory;Usine d'huile de synth?e;Synthese?fabrik;;;;;;;;;;;
synthetic_oil_factory_desc;석탄을 사용해 석유를 생산합니다. 비산유국이나 석유에 접근하지 못하는 나라들에게 활력소가 됩니다.;Using coal, the synthetic oil factory produces oil out of that coal. Vital for nations that do not have ready access to oil.;L'usine d'huile de synth?e produit de l'huile ?partir de charbon. Cette huile est vitale pour les nations qui n'ont pas acc? au p?role.;Die Synthese?fabrik produziert ? aus Kohle. Unerl?slich f? Nationen, die keinen Zugang zu ?vorkommen haben.;;;;;;;;;;;
fuel_refinery;연료 정제소;Fuel Refinery;Raffinerie de p?role;Treibstoffraffinerie;;;;;;;;;;;
fuel_refinery_desc;원유를 자동차 연료로 가공합니다.;The fuel factory processes oil into fuel for automobiles.;La raffinerie transforme le p?role en carburant pour les automobiles.;Die Treibstoffraffinerie verarbeitet ? zu Treibstoffen f? Automobile.;;;;;;;;;;;
steamer_shipyard;증기선 조선소;Steamer Shipyard;Chantier de construction de steamers;Dampferwerft;;;;;;;;;;;
steamer_shipyard_desc;증기선은 범선보다 훨씬 발전해 바람에게서 더 자유로우며 더 크고 튼튼합니다. 증기선 건조에는 강철과 석탄이 필요합니다.;Steamers are a huge improvement over clippers because they are independent from wind and can also be built bigger and sturdier. Steel and coal are the prerequisites for steamers.;Les bateaux ?vapeur, ou steamers, constituent un progr? majeur par rapport aux bateaux ?voile, car ils ne d?endent pas du vent. De plus, ils peuvent ?re plus grands et plus robustes. L'acier et le charbon sont indispensables aux steamers.;Dampfer stellen eine gewaltige Verbesserung gegen?er den Klippern dar, da sie windunabh?gig und gr秤er sind und stabiler gebaut werden k?nen. F? den Dampferbau sind Stahl und Kohle erforderlich.;;;;;;;;;;;
clipper_shipyard;범선 조선소;Clipper Shipyard;Chantier de construction de clippers;Klipperwerft;;;;;;;;;;;
clipper_shipyard_desc;범선은 돛과 바람을 이용해 움직이는 단순한 상업용 선박입니다. 직물과 목재가 필요합니다.;Clippers are simple commercial ships using sails and wind for movement. Fabric and lumber are needed in this shipyard.;Les clippers sont de simples navires commerciaux qui utilisent leurs voiles et le vent pour se d?lacer. Ce chantier naval a besoin de tissus et de bois.;Klipper sind einfache Handelssegler. Ihre Werften brauchen Stoff und Holz.;;;;;;;;;;;
steel_factory;강철 공장;Steel Factory;Aci?ie;Stahlfabrik;;;;;;;;;;;
steel_factory_desc;철과 석탄을 이용해 강철을 제련합니다. 강철은 무기, 철도 및 다양한 건물과 물품을 생산하는데 쓰입니다.;Here, Iron and Coal are used to produce steel. Steel is used to produce weapons, railways, and a wide range of other buildings and items.;Du fer et du charbon sont ici utilis? pour produire de l'acier. L'acier permet de fabriquer des armes, des voies ferr?s ainsi qu'un large ?entail de b?iments et autres ??ents.;Hier werden Eisen und Kohle zur Stahlproduktion eingesetzt. Stahl wird bei der Produktion Bau von Waffen, Eisenbahnschienen und einer breiten Palette anderer Geb?de und Gegenst?de eingesetzt.;;;;;;;;;;;
artillery_factory;강철포 공장;Steel Artillery Factory;;;;;;;;;;;;;
artillery_factory_desc;강철과 화약을 소비해 중화기를 생산합니다. 중화기는 군의 화력을 많이 강화합니다.;Using steel and explosives, artillery is produced. Artillery greatly enhances the firepower of army divisions.;Les pi?es d'artillerie sont produites avec de l'acier et des explosifs. L'artillerie renforce consid?ablement la puissance de feu des divisions arm?s.;Artilleriegesch?ze werden mit Stahl und Sprengstoffen produziert. Artillerie erh?t die Feuerkraft von Armeedivisionen stark.;;;;;;;;;;;
small_arms_factory;소화기 공장;Small Arms Factory;Usine d'armes l??es;Handfeuerwaffenfabrik;;;;;;;;;;;
