KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
news1;$TAG_2_0$ 정부의 평화제의 조건: $STRING_0_1$;The government of $TAG_2_0$ offered the peace with the following terms: $STRING_0_1$;;;;;;;;;;;;x;
battle_we_win_title_large;$STRING_0_3$에서의 영광스러운 승리!;GLORIOUS VICTORY IN $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_win_large;$DATE_LONG_0$, 타의 추종을 불허하는 아군이 $STRING_0_3$전투에서 승리했습니다! $VALUE_INT_0_1$명의 전사들이 용감하게 국가의 부름에 응답한 덕분에 $VALUE_INT_0_3$명의 $TAG_0_3$군을 물리칠 수 있었습니다. $VALUE_INT_0_2$명의 두려움 없던 용사들이 목숨을 잃었지만, $TAG_0_3$ 측도 $VALUE_INT_0_4$명의 병사를 잃었으며 결정적으로 $STRING_0_3$을(를) 손에 넣었습니다. 패배한 $TAG_0_3$에게는 평화조건을 구걸하는 길 뿐입니다!;On $DATE_LONG_0$ our unrivalled army was, once again, victorious in the battle of $STRING_0_3$! $VALUE_INT_0_1$ of our men bravely gave $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops a sound seeing to, and while $VALUE_INT_0_2$ of our fearless troops lost their lives, over $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed and the field was left in our hands. After a defeat like this, $TAG_0_3$ surely must soon seek peace terms!;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen M쬦ner gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben lie쬦n, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken get쬦et. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_win_title_medium;$STRING_0_3$에서의 승리!;Victory in $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_win_medium;$DATE_LONG_0$, $VALUE_INT_0_2$명의 두려움 없던 용사들이 목숨을 잃은 대가로 아군이 $STRING_0_3$전투에서 $TAG_0_3$군을 물리쳤습니다!;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$, at the cost of $VALUE_INT_0_2$ lives lost.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_win_title_small;승리!;Victory!;;Sieg!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_win_small;$DATE_LONG_0$, 아군이 $STRING_0_3$전투에서 $TAG_0_3$군을 물리쳤습니다!;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_title_large;군사적 실수가 낳은 $STRING_0_3$에서의 재앙!;MILITARY BLUNDER LEADS TO DISASTER IN $STRING_0_3$!;;MILIT훀ISCHER PATZER F쬦RT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_large;$DATE_LONG_0$, 기가 막히게도 무능한 사령부가 $STRING_0_3$에서 $TAG_0_2$군을 맞아 $VALUE_INT_0_4$명의 용감한 아군 병사들을 사지로 몰아넣었습니다. $VALUE_INT_0_3$명의 아군은 $VALUE_INT1$ $TAG_0_2$ 병사들을 맞아 서투른 지휘수완과 적의 비열한 전술 운용에 맞서 거세게 저항했으나, $VALUE_INT_0_2$ 명의 사상자가 발생하고 말았습니다. 전장에서는 사령부가 전쟁을 수행하는 방식에 심각한 우려를 표하고 있습니다. 너무 늦기 전에 문제를 해결하기 위한 조치를 취하도록 정부에 강력히 촉구합니다!;On $DATE_LONG_0$ our incompetent high command shockingly sent $VALUE_INT_0_4$ of our brave soldiers to their deaths in $STRING_0_3$ against the forces of  $TAG_0_2$. Our $VALUE_INT_0_3$ fine troops faced $VALUE_INT1$ $TAG_0_2_ADJ$ soldiers, and despite poor leadership and the enemy's underhanded tactics managed to inflict $VALUE_INT_0_2$ casualties upon them. This paper expresses grave concerns over the direction the high command is taking this war, and strongly urges the Government to take steps to correct it before it is too late!;;Am $DATE_LONG_0$ sendete unser unf쬦iges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter F쬦rung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere gro쬦 Sorge 쬦er die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzurei쬦n, bevor es zu sp쬦 ist!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_title_medium;$STRING_0_3$에서의 패배;Defeat in $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_medium;$DATE_LONG_0$, $STRING_0_3$에서 $TAG_0_2$군을 맞아 싸웠으나, $VALUE_INT_0_4$명의 아군이 전사했으며, 전장은 $TAG_0_2$의 손에 넘어갔습니다.;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ M쬦ner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_title_small;$STRING_0_3$에서의 재앙;Disaster in $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
battle_we_lose_small;$DATE_LONG_0$, $STRING_0_3$전투에서 패배하면서, $VALUE_INT_0_4$명의 아군이 전사하고 전장이 $TAG_0_2$의 손에 넘어갔습니다.;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ M쬦ner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_large_title;$TAG_3_0_UPPER$ 항복!;$TAG_3_0_UPPER$ SURRENDERS!;;$TAG_3_0_UPPER$ GIBT AUF!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_large_desc;$DATE_LONG_1$, $TAG_0_0$ 진영과 $TAG_1_0$ 진영 간의 세계대전이 영광스러운 승전으로 끝났습니다. $STRING_0_0$(으)로 알려진 해당 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$까지 지속됐으며, 결국 $STRINGS_LIST_4$(이)라는 결과를 낳았습니다.;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Gro쬦 Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, w쬦ete von $DATE_SHORT_0$ 쬦er $STRING_9_0$, an dessen Ende das Ergebis feststand: $STRINGS_LIST_4$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_medium_title;휴전협정 조인!\n승전!;ARMISTICE SIGNED!\n VICTORY!;;WAFFENRUHE UNTERZEICHNET!\n SIEG!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_medium_desc;$DATE_LONG_1$, $TAG_0_0$ 진영과 $TAG_1_0$ 진영 간의 세계대전이 영광스러운 승전으로 끝났습니다. $STRING_0_0$(으)로 알려진 해당 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$까지 지속됐습니다.;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Gro쬦 Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, w쬦ete von $DATE_SHORT_0$ 쬦er $STRING_9_0$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_small_title;대$TAG_3_0$전 승전!;Victory over $TAG_3_0$!;;Sieg 쬦er $TAG_3_0$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_win_small_desc;$STRING_0_0$이(가) $TAG_3_0$의 패전으로 끝났습니다.;$STRING_0_0$ has ended with the defeat of $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_large_title;수치스러운 날\n$TAG_2_0_UPPER$과(와)의 평화조약 조인!;A SHAMEFUL DAY.\nPEACE WITH $TAG_2_0_UPPER$ SIGNED!;;EIN TAG DER SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_large_desc;$DATE_LONG_1$, $TAG_2_0$과(와)의 세계대전이 수치스러운 패전으로 끝났습니다. $STRING_0_0$(으)로 알려진 해당 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$까지 지속됐으며, 결국 $STRINGS_LIST_4$(이)라는 결과를 낳았습니다.;On $DATE_LONG_1$ the Great war against $TAG_2_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der  Krieg gegen $TAG_2_0$ mit unserer sch쬦dlichen Niederlage. Der Krieg, $STRING_0_0$, w쬦ete von $DATE_SHORT_0$ 쬦er $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_medium_title;$TAG_2_0_UPPER$과(와)의 평화조약 조인!;PEACE WITH $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_medium_desc;$DATE_LONG_1$, $TAG_0_0$ 진영과 $TAG_1_0$ 진영 간의 세계대전이 수치스러운 패전으로 끝났습니다. $STRING_0_0$(으)로 알려진 해당 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$까지 지속됐습니다.;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. Der Krieg, bekannt als $STRING_0_0$, w쬦ete von $DATE_SHORT_0$ 쬦er $STRING_9_0$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_small_title;$TAG_2_0$과(와)의 평화;Peace with $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gwar_we_lose_small_desc;$STRING_0_0$이(가) $TAG_2_0$의 승전으로 끝났습니다.;$STRING_0_0$ has ended with our defeat at the hands of $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_win_large_title;휴전협정 조인!\n승리!;ARMISTICE SIGNED!\n $TAG_3_0_UPPER$ SURRENDERS;;WAFFENRUHE!\n $TAG_3_0_UPPER$ GIBT AUF;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_win_large_desc;$DATE_LONG_1$, $TAG_0_0$과(와) $TAG_1_0$의 전쟁이 영광스러운 승리로 끝났습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$~$STRING_9_0$ 동안 지속되었으며 $STRINGS_LIST_4$의 결과를 낳았습니다.;On $DATE_LONG_1$ the War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. $STRING_0_0$ w쬦ete von $DATE_SHORT_0$ 쬦er $STRING_9_0$, das Ende war $STRINGS_LIST_4$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_win_medium_title;휴전협정 조인!\n승리!;ARMISTICE SIGNED!\n VICTORY!;;WAFFENRUHE!\n SIEG!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
